node_id,x_m,y_m,z_m
711,8.5,4.5,0.0
712,9.0,4.5,0.0
713,9.5,4.5,0.0
714,10.0,4.5,0.0
715,10.5,4.5,0.0
716,11.0,4.5,0.0
717,11.5,4.5,0.0
718,12.0,4.5,0.0
719,12.5,4.5,0.0
720,13.0,4.5,0.0
721,13.5,4.5,0.0
722,14.0,4.5,0.0
723,14.5,4.5,0.0
724,15.0,4.5,0.0
725,15.5,4.5,0.0
726,16.0,4.5,0.0
727,16.5,4.5,0.0
728,17.0,4.5,0.0
729,17.5,4.5,0.0
730,18.0,4.5,0.0
731,18.5,4.5,0.0
732,19.0,4.5,0.0
733,19.5,4.5,0.0
734,20.0,4.5,0.0
735,20.5,4.5,0.0
736,21.0,4.5,0.0
737,21.5,4.5,0.0
738,22.0,4.5,0.0
739,22.5,4.5,0.0
740,23.0,4.5,0.0
741,23.5,4.5,0.0
742,24.0,4.5,0.0
743,24.5,4.5,0.0
744,25.0,4.5,0.0
745,25.5,4.5,0.0
746,26.0,4.5,0.0
747,26.5,4.5,0.0
748,27.0,4.5,0.0
749,27.5,4.5,0.0
750,28.0,4.5,0.0
751,28.5,4.5,0.0
752,29.0,4.5,0.0
753,29.5,4.5,0.0
754,30.0,4.5,0.0
755,30.5,4.5,0.0
756,31.0,4.5,0.0
757,31.5,4.5,0.0
758,32.0,4.5,0.0
759,32.5,4.5,0.0
760,33.0,4.5,0.0
761,33.5,4.5,0.0
762,34.0,4.5,0.0
763,34.5,4.5,0.0
764,35.0,4.5,0.0
765,35.5,4.5,0.0
766,36.0,4.5,0.0
767,36.5,4.5,0.0
768,37.0,4.5,0.0
769,37.5,4.5,0.0
770,38.0,4.5,0.0
771,0.0,5.0,0.0
772,0.5,5.0,0.0
773,1.0,5.0,0.0
774,1.5,5.0,0.0
775,2.0,5.0,0.0
776,2.5,5.0,0.0
777,3.0,5.0,0.0
778,3.5,5.0,0.0
779,4.0,5.0,0.0
780,4.5,5.0,0.0
781,5.0,5.0,0.0
782,5.5,5.0,0.0
783,6.0,5.0,0.0
784,6.5,5.0,0.0
785,7.0,5.0,0.0
786,7.5,5.0,0.0
787,8.0,5.0,0.0
788,8.5,5.0,0.0
789,9.0,5.0,0.0
790,9.5,5.0,0.0
791,10.0,5.0,0.0
792,10.5,5.0,0.0
793,11.0,5.0,0.0
794,11.5,5.0,0.0
795,12.0,5.0,0.0
796,12.5,5.0,0.0
797,13.0,5.0,0.0
798,13.5,5.0,0.0
799,14.0,5.0,0.0
800,14.5,5.0,0.0
801,15.0,5.0,0.0
802,15.5,5.0,0.0
803,16.0,5.0,0.0
804,16.5,5.0,0.0
805,17.0,5.0,0.0
806,17.5,5.0,0.0
807,18.0,5.0,0.0
808,18.5,5.0,0.0
809,19.0,5.0,0.0
810,19.5,5.0,0.0
811,20.0,5.0,0.0
812,20.5,5.0,0.0
813,21.0,5.0,0.0
814,21.5,5.0,0.0
815,22.0,5.0,0.0
816,22.5,5.0,0.0
817,23.0,5.0,0.0
818,23.5,5.0,0.0
819,24.0,5.0,0.0
820,24.5,5.0,0.0
821,25.0,5.0,0.0
822,25.5,5.0,0.0
823,26.0,5.0,0.0
824,26.5,5.0,0.0
825,27.0,5.0,0.0
826,27.5,5.0,0.0
827,28.0,5.0,0.0
828,28.5,5.0,0.0
829,29.0,5.0,0.0
830,29.5,5.0,0.0
831,30.0,5.0,0.0
832,30.5,5.0,0.0
833,31.0,5.0,0.0
834,31.5,5.0,0.0
835,32.0,5.0,0.0
836,32.5,5.0,0.0
837,33.0,5.0,0.0
838,33.5,5.0,0.0
839,34.0,5.0,0.0
840,34.5,5.0,0.0
841,35.0,5.0,0.0
842,35.5,5.0,0.0
843,36.0,5.0,0.0
844,36.5,5.0,0.0
845,37.0,5.0,0.0
846,37.5,5.0,0.0
847,38.0,5.0,0.0
848,0.0,5.5,0.0
849,0.5,5.5,0.0
850,1.0,5.5,0.0
851,1.5,5.5,0.0
852,2.0,5.5,0.0
853,2.5,5.5,0.0
